"property name","description","unit","access","comment"
"forces/fwy-aero-lbs","aerodynamic force along the Y axis","LBS","RO","aerodynamic force only in the wind frame"
"forces/fwy-aero-newton","aerodynamic force along the Y axis","N","RO","aerodynamic force only in the wind frame"
"forces/fwz-aero-lbs","aerodynamic force along the Z axis","LBS","RO","aerodynamic force only in the wind frame"
"forces/fwz-aero-newton","aerodynamic force along the Z axis","N","RO","aerodynamic force only in the wind frame"
"forces/lod-norm","aerodynamic force load ratio","norm","RO","aerodynamic lift force divided by aerodynamic drag force"
"forces/nlf-norm","longitude force load","norm","RO","longitude force divided by gravity, it is 1 normally."
"forces/mag-nlf-total-norm","absolute magnitude of all force load","norm","RO","total force divided by gravity, it is 1 normally."
"forces/fbx-total-lbs","total force along the X axis","LBS","RO","total force in the body frame"
"forces/fbx-total-n","total force along the X axis","N","RO","total force in the body frame"
"forces/fby-total-lbs","total force along the Y axis","LBS","RO","total force in the body frame"
"forces/fby-total-n","total force along the Y axis","N","RO","total force in the body frame"
"forces/fbz-total-lbs","total force along the Z axis","LBS","RO","total force in the body frame"
"forces/fbz-total-n","total force along the Z axis","N","RO","total force in the body frame"
"forces/nbx-total-norm","total load along the X axis","G","RO","total load in the body frame"
"forces/nby-total-norm","total load along the Y axis","G","RO","total load in the body frame"
"forces/nbz-total-norm","total load along the Z axis","G","RO","total load in the body frame, it is -1 normally."
"moments/l-aero-lbsft","aerodynamic moment along the X axis","LBS*FT","RO","aerodynamic moment in the body frame at ARP"
"moments/l-aero-n_m","aerodynamic moment along the X axis","N*M","RO","aerodynamic moment in the body frame at ARP"
"moments/m-aero-lbsft","aerodynamic moment along the Y axis","LBS*FT","RO","aerodynamic moment in the body frame at ARP"
"moments/m-aero-n_m","aerodynamic moment along the Y axis","N*M","RO","aerodynamic moment in the body frame at ARP"
"moments/n-aero-lbsft","aerodynamic moment along the Z axis","LBS*FT","RO","aerodynamic moment in the body frame at ARP"
"moments/n-aero-n_m","aerodynamic moment along the Z axis","N*M","RO","aerodynamic moment in the body frame at ARP"
"moments/l-total-lbsft","total moment along the X axis","LBS*FT","RO","total moment in the body frame at ARP"
"moments/l-total-nm","total moment along the X axis","N*M","RO","total moment in the body frame at ARP"
"moments/m-total-lbsft","total moment along the Y axis","LBS*FT","RO","total moment in the body frame at ARP"
"moments/m-total-nm","total moment along the Y axis","N*M","RO","total moment in the body frame at ARP"
